class	subscriber	message_body	timestamp	type
0	1	"I need ur login password. For security reasons, u can temporarily change it by ctrl alt del"	4/4/11 15:51	Outgoing
0	1	Change it to temp pw then give me it	4/4/11 15:52	Outgoing
0	1	"I've given u his email before, on march 3rd to be exact"	4/5/11 8:40	Outgoing
0	1	I found email mentioning him but can't find his email lol	4/5/11 8:41	Outgoing
0	1	No worrys I'll look again for it	4/5/11 8:41	Incoming
0	1	Just sent to u as outlook contact	4/5/11 8:45	Outgoing
0	1	Thank u sir	4/5/11 8:45	Incoming
0	1	"I never emailed it to u before, I wrote down his number lol"	4/5/11 8:45	Outgoing
0	1	Just found email where I mention his name but no contact info	4/5/11 8:45	Outgoing
1	1	Wanna snort a line w/me?	4/5/11 8:46	Incoming
0	1	Ahh ic	4/5/11 8:46	Outgoing
0	1	Yup lol	4/5/11 8:54	Incoming
0	2	What time will u b here for dinner 	4/5/11 9:33	Incoming
0	2	When tim is done working on ur roommates car we r coming over together	4/5/11 9:35	Outgoing
0	1	"If she needs it done with someone else present, she can contact John Doe and they can pay him big bucks to do it in front of both of them"	4/5/11 11:01	Outgoing
0	1	"I'll call her, what's her number?"	4/5/11 11:02	Outgoing
0	1	"I called her, it's all good now"	4/5/11 11:14	Outgoing
0	1	Ok thank you sir	4/5/11 11:15	Incoming
0	1	Question for ya sir I am not 100% sure on how to make it look nice I tried the premade template for the layouts it just makes it look worse or do I just 	4/5/11 15:20	Incoming
0	1	have to mess with it by adjusting one by one?	4/5/11 15:20	Incoming
0	1	"Yup, sucks"	4/5/11 15:20	Outgoing
0	1	Dam that is a lot of adjusting how do u not make it look like a mess of lines just spread it out?	4/5/11 15:21	Incoming
0	1	But wait. What version do u have?	4/5/11 15:37	Outgoing
0	1	"Lol very carefully, or u take it off the timeline and space everything yourself"	4/5/11 15:38	Outgoing
0	1	Version 8.5.1 and I think I will spend sometime spreading it lol last thing I want is a day and a half gone	4/5/11 15:39	Incoming
0	1	Did you put subjects above and below the timeline if not do u think that it will not not look good if I did?	4/5/11 16:00	Incoming
0	1	That is probably fine	4/5/11 16:04	Outgoing
0	1	Ok timelines are kind of a pain to do with all the different connections and being able to move it all around	4/5/11 16:05	Incoming
0	1	Edit the objects and set them all to free	4/5/11 16:05	Outgoing
0	1	Then u can move them yourself	4/5/11 16:06	Outgoing
0	1	Ok I'll give it a shot	4/5/11 16:06	Incoming
0	2	Hey u on the road whats ur eta 	4/5/11 17:31	Incoming
0	1	How did u get passed the data loss when you try to print it out on the plotter	4/6/11 10:12	Incoming
0	1	Export as A3 or some other smaller paper type as a PDF. Print the PDF using adobe.	4/6/11 10:12	Outgoing
0	1	Will take away from the quality of the print?	4/6/11 10:15	Incoming
0	1	Will that*	4/6/11 10:15	Incoming
0	1	Not much. It makes high quality PDFs 	4/6/11 10:16	Outgoing
0	1	Ok I'll give it a shot thank u	4/6/11 10:16	Incoming
0	1	How do I shrink down the chart with out bringing down the font size? Right now it is 82 x 30 it's big	4/6/11 12:32	Incoming
0	1	You just shrink it then blow it up as PDF to print it	4/6/11 12:33	Outgoing
0	1	Resolution is good	4/6/11 12:33	Outgoing
0	1	So do I have to go through all the font sizes and shrink them down to fit on a smaller page size or can I make it do that automatically?	4/6/11 12:34	Incoming
0	1	Have you tried to call them for trouble support?	4/6/11 12:54	Incoming
0	1	Yes	4/6/11 13:26	Outgoing
0	1	They couldn't do it either lol	4/6/11 13:26	Outgoing
0	1	No it shrinks it for you in page setup	4/6/11 13:27	Outgoing
0	1	U tell it to fit to whatever paper size and it will	4/6/11 13:27	Outgoing
0	1	Then export as PDF 	4/6/11 13:28	Outgoing
0	1	Ok I think I found the problem for the export for me I have it set to custom 1 82x30 but everytime it exports as a PDF it defaults the custom 1 back to 8	4/6/11 13:29	Incoming
0	1	.5x11 so I am going to see if I can't change the default printer size to the 82x30	4/6/11 13:29	Incoming
0	1	It shows them PDF writer as a printer so does it select the options from there instead of the plotter? If so it would not recognize my custom setting for t	4/6/11 13:31	Incoming
0	1	he plotter	4/6/11 13:31	Incoming
0	1	Yep I think that is it	4/6/11 13:32	Incoming
0	1	It shows me the paper sizes that it will export but I can not change any of them it just gives me a error when I try	4/6/11 13:33	Incoming
0	1	It will not export a large PDF. Legal 11x17 or standard only	4/6/11 13:36	Outgoing
0	1	U just blow it up in adobe	4/6/11 13:36	Outgoing
0	1	Resolution is actually fine	4/6/11 13:36	Outgoing
0	1	I understand that but I am trying to make it where there isn't a foot of white on top of the chart then the time bar. It will allow me to export on the p	4/6/11 13:40	Incoming
0	1	redesignated size paper but it will not allow me to do it with a custom size.	4/6/11 13:40	Incoming
0	1	No custom sizes no	4/6/11 13:41	Outgoing
0	1	Why?	4/6/11 13:42	Incoming
0	1	Cuz it sucks	4/6/11 13:42	Outgoing
0	1	But u can tell it to fit in that size in page setup	4/6/11 13:42	Outgoing
0	1	Ok is there a way to cut out the big blank area?	4/6/11 13:42	Incoming
0	1	I got that	4/6/11 13:43	Incoming
0	1	Move the chart up towards the top edge	4/6/11 13:43	Outgoing
0	1	Then all the runoff will be on the bottom	4/6/11 13:43	Outgoing
0	1	Ok I'll give that a shot. Do u just deselect the center on page option and select everything and move it?	4/6/11 13:44	Incoming
0	1	Yup	4/6/11 13:45	Outgoing
0	1	Ok	4/6/11 13:45	Incoming
0	1	Thank u	4/6/11 13:45	Incoming
0	1	no	4/6/11 13:45	Outgoing
0	1	NP	4/6/11 13:45	Outgoing
0	1	How's class?	4/6/11 13:46	Incoming
0	1	Good	4/6/11 13:46	Outgoing
0	1	I probably need to stop txting now and pay attention	4/6/11 13:46	Outgoing
0	1	Ok take it easy	4/6/11 13:47	Incoming
0	1	What are you up to tonight?	4/7/11 12:47	Incoming
0	1	I'm in chi-town	4/7/11 12:48	Outgoing
0	1	Awwww Bummer! 	4/7/11 12:50	Incoming
0	1	Question for ya where on word can you see what grade level you are typing at?	4/7/11 13:37	Incoming
0	1	Go to tools then spelling and grammar check	4/7/11 13:37	Outgoing
0	1	It first must be enabled in settings	4/7/11 13:38	Outgoing
0	1	Alright do u go under options?	4/7/11 13:38	Incoming
0	1	Go to word options under home button in word	4/7/11 13:39	Outgoing
0	1	Click on proofing tab	4/7/11 13:39	Outgoing
0	1	Select boxes for show readability statistics	4/7/11 13:39	Outgoing
0	1	Then grammar and style?	4/7/11 13:40	Incoming
0	1	"Then under tools do spell check, u have to thru all the errors an ignore and at the end it will show u"	4/7/11 13:40	Outgoing
0	1	Under fletsch something or other	4/7/11 13:41	Outgoing
0	1	Do u see it?	4/7/11 13:41	Outgoing
0	1	If not let me remote in	4/7/11 13:41	Outgoing
0	1	Sweet got it thank you	4/7/11 13:41	Incoming
0	1	No prob. We use that at school lol	4/7/11 13:42	Outgoing
0	1	Lol nice	4/7/11 13:44	Incoming
0	1	Most grad papers are 9-12th grade	4/7/11 13:44	Outgoing
0	1	Many undergrad are 7-10	4/7/11 13:45	Outgoing
0	1	Lol steve wanted to check his paper that he wrote and I couldnt remember how that worked. I never use it because I am afraid to know lol I am better at ri	4/7/11 13:46	Incoming
0	1	ghting in equations tables and graphs	4/7/11 13:46	Incoming
0	1	Most tech people are. Hence grade level readings lol	4/7/11 13:47	Outgoing
0	1	Nice	4/7/11 13:48	Incoming
0	3	Cigar event at the lounge tonight	4/8/11 16:06	Incoming
0	3	Is it ok if it's closer to 9pm?	4/8/11 19:16	Outgoing
0	3	"I need to be heading home at 10 or 1030, for tomorrow. should we reschedule? "	4/8/11 19:27	Incoming
0	3	"Nahh, we can still do 8:30. I was mostly giving ourselves extra padding, but now I'm confident we won't need it"	4/8/11 19:28	Outgoing
0	3	"Cool, I will be there"	4/8/11 19:40	Incoming
0	4	U and amber doing anything tonight?	4/9/11 19:09	Incoming
0	4	"Yeah sorry man, just got back in town"	4/9/11 20:08	Outgoing
0	4	No prob	4/9/11 20:09	Incoming
0	4	What are you up to tonight?	4/14/11 10:37	Incoming
0	4	"I will be in aurora till about 8:30, so free after that"	4/14/11 10:38	Outgoing
0	4	You wanna go to three brothers on your way back?	4/14/11 10:39	Incoming
0	4	Sounds good to me	4/14/11 10:39	Outgoing
0	4	Sweet! My roommate Tim is coming too!	4/14/11 10:42	Incoming
0	4	Kewl	4/14/11 10:43	Outgoing
0	4	So Nate is gonna come out too! The day has finally arrived! :)	4/14/11 15:07	Incoming
0	4	Kewl	4/14/11 15:07	Outgoing
0	4	Aww yeah! 	4/14/11 15:08	Incoming
0	2	No took day off	4/14/11 15:26	Outgoing
0	2	Why?	4/14/11 15:27	Outgoing
0	2	Can I call?	4/14/11 15:27	Incoming
0	2	Yeah	4/14/11 15:27	Outgoing
0	4	Hey u guys want to meet up any earlier by chance?	4/14/11 16:47	Outgoing
0	4	"Well we are going to bob's house, as soon as that is done we can meetup. Are you not going to aurora?"	4/14/11 16:56	Incoming
0	4	Maybe not	4/14/11 17:11	Outgoing
0	4	But I will definitely meet u tonight at three bros	4/14/11 17:11	Outgoing
0	4	Ok well i was gonna say you are welcome to come to bob's house too	4/14/11 17:13	Incoming
0	4	Oh yeah	4/14/11 17:15	Outgoing
0	4	We'll see 	4/14/11 17:16	Outgoing
0	3	It is any 4 books for $16 lol	4/14/11 18:56	Outgoing
0	3	"Lol, damn! Wonder if they got any good neuro stuff"	4/14/11 19:01	Incoming
0	3	We are headed out now.	4/14/11 21:05	Incoming
0	3	K see u in a few	4/14/11 21:10	Outgoing
1	3	Umm PCP	4/15/11 14:20	Outgoing
1	3	Did you see that dude who ate his own crap on bath salts?	4/15/11 19:12	Incoming
0	3	Muahaha	4/15/11 19:14	Outgoing
0	3	I am heading over. Thought I hit snooze...	4/16/11 8:20	Incoming
0	3	No prob lol	4/16/11 8:20	Outgoing
0	3	See u soon	4/16/11 8:20	Outgoing
0	2	Give me a call.not sure whats going on yet.	4/16/11 11:35	Incoming
0	2	K	4/16/11 11:39	Outgoing
0	8	Want to wood today	4/16/11 14:11	Incoming
0	8	Hey sorry took nap	4/16/11 16:53	Outgoing
0	8	Long nap	4/16/11 16:53	Outgoing
0	8	Lol	4/16/11 16:53	Outgoing
0	8	Did you want to do the wood?	4/16/11 16:54	Incoming
0	8	I could	4/16/11 16:57	Outgoing
0	8	Lemme see what us Goin on	4/16/11 16:58	Outgoing
0	8	Ok let me know so I can call mike	4/16/11 17:00	Incoming
0	8	Can we do it tomorrow	4/16/11 17:00	Outgoing
0	8	He goes to bed about 5.	4/16/11 17:02	Incoming
0	8	Am	4/16/11 17:02	Incoming
0	8	Ok so when is best time?	4/16/11 17:02	Outgoing
0	8	Tomorrow	4/16/11 17:02	Incoming
0	8	Today or next weekend. Have to talk to him.	4/16/11 17:03	Incoming
0	8	Ok kewl	4/16/11 17:03	Outgoing
0	8	I am free all day tomorrow	4/16/11 17:03	Outgoing
0	8	"Sorry man, I laid down and crashed for several hours"	4/16/11 17:04	Outgoing
0	8	My bad	4/16/11 17:04	Outgoing
0	3	Any plans?	4/16/11 19:07	Incoming
0	3	"Yeah, what ru doing tomorrow?"	4/16/11 19:13	Outgoing
0	3	"Prob staying in and studying, busy tonight?"	4/16/11 19:15	Incoming
0	3	Yeah at friends house	4/16/11 19:15	Outgoing
0	3	Borders has nothing left lol	4/16/11 20:29	Incoming
0	3	Goin fast lol	4/16/11 20:29	Outgoing
0	5	Hey I think I got a virus on my pc. Are you in the area today where u might be able to look at it?	4/17/11 10:37	Incoming
0	5	Yes but not sure what is going on today	4/17/11 10:41	Outgoing
0	5	"Ok..not sure what I should do first, never had a virus before. It is mailing all my contacts"	4/17/11 10:43	Incoming
0	5	That might just mean ur mail got hacked 	4/17/11 10:44	Outgoing
0	5	Change password asap	4/17/11 10:44	Outgoing
0	5	Use strong password	4/17/11 10:45	Outgoing
0	5	"Okay I will do that now. If you have some time later to take a look at it, please let me know. Thanks "	4/17/11 10:45	Incoming
0	5	K text me around 1 or I will forget lol	4/17/11 10:47	Outgoing
0	5	Ok :)	4/17/11 10:48	Incoming
0	6	You and amber wnt to go to bdubs in chicago tnght	4/17/11 16:31	Incoming
0	6	Not sure yet	4/17/11 16:52	Outgoing
0	6	K	4/17/11 16:52	Incoming
0	6	K	4/17/11 16:55	Incoming
0	6	Nce	4/17/11 17:29	Incoming
1	6	Ugh. Never hit acid with pranksters. BAAAD trip.	4/17/11 18:59	Incoming
0	7	Hey can u send d screen shots of ur part to me? Tom needs our team's screen shots	4/18/11 19:10	Incoming
0	3	Restarted computer and everything is on there!	4/19/11 17:21	Incoming
0	3	Good to hear! You can now breath a sigh of relief lol	4/19/11 17:27	Outgoing
0	3	"A rather short one, for i am amidst many, many finals..."	4/19/11 17:29	Incoming
0	3	"Mostly papers for me, not really any tests"	4/19/11 18:57	Outgoing
1	3	"ivory bath salts, now comes in zombie variety"	4/19/11 18:57	Outgoing
0	3	"Same, have't had any tests yet"	4/19/11 18:58	Incoming
0	8	Hey u wanna meet me an skip up for lunch?	4/20/11 11:23	Outgoing
0	8	Where	4/20/11 11:24	Incoming
0	8	Where are you?	4/20/11 11:25	Outgoing
0	8	here	4/20/11 11:27	Incoming
0	8	What about Family restaurant?	4/20/11 11:28	Outgoing
0	8	What time?	4/20/11 11:29	Incoming
0	8	Now or whenever works for u	4/20/11 11:29	Outgoing
0	8	I'm open now. Eat food now.	4/20/11 11:30	Incoming
0	8	Ok see in a few	4/20/11 11:30	Outgoing
0	8	K	4/20/11 11:32	Incoming
0	8	Hw many people are u bringng	4/21/11 20:07	Incoming
0	8	Just me	4/21/11 20:40	Outgoing
1	6	"I need some vikes, this pain sucks"	4/22/11 11:38	Incoming
0	6	Yes and I know where it is	4/22/11 11:55	Outgoing
0	6	Where is that at?	4/22/11 11:55	Incoming
0	1	Hey sir we are at old Chicago if u want to come out	4/22/11 15:54	Incoming
0	1	Kewl	4/22/11 15:54	Outgoing
0	1	Happy Easter sir	4/24/11 13:38	Incoming
0	2	Happy Easter	4/24/11 13:38	Outgoing
0	3	Happy Easter	4/24/11 13:40	Outgoing
0	4	Happy Easter	4/24/11 13:40	Outgoing
0	5	Happy Easter	4/24/11 13:40	Outgoing
0	3	Same to you	4/24/11 13:41	Incoming
0	4	"Thanks, u too!"	4/24/11 13:41	Incoming
0	6	Happy Easter	4/24/11 13:41	Outgoing
0	7	Happy Easter	4/24/11 13:42	Outgoing
0	8	Happy Easter	4/24/11 13:42	Outgoing
0	5	Happy Easter :)	4/24/11 13:43	Incoming
0	9	Happy Easter	4/24/11 13:44	Outgoing
0	10	Happy Easter	4/24/11 13:44	Outgoing
0	7	You too!	4/24/11 13:44	Incoming
0	11	Happy Easter	4/24/11 13:44	Outgoing
0	7	You too man! :) 	4/24/11 13:44	Incoming
0	12	Happy Easter	4/24/11 13:45	Outgoing
0	13	Happy Easter	4/24/11 13:46	Outgoing
0	9	Thanks! Happy Easter to U too!	4/24/11 13:46	Incoming
0	14	Happy Easter	4/24/11 13:46	Outgoing
0	11	Happy Easter to you man! How's everything going with you?	4/24/11 14:06	Incoming
0	11	"Going well, how about u and the family?"	4/24/11 14:08	Outgoing
0	11	Great! Have you heard/seen that I'm a dad now?	4/24/11 14:09	Incoming
0	11	"Yup, but I forgot your child's name and gender lol"	4/24/11 14:09	Outgoing
0	11	"James, why?"	4/24/11 14:10	Incoming
0	11	Kewl man	4/24/11 14:10	Outgoing
0	11	"Yep. How's your family, wife, mom and brothers?"	4/24/11 14:11	Incoming
0	11	"Doin well. amber is about to finish school, mom is well, tim is havin fun in chicago, Joe hasn't broken his neck yet, and amber came off birth control. So we might be joining the parent club..."	4/24/11 14:47	Outgoing
0	12	And to you.	4/24/11 16:12	Incoming
0	12	Awesome! That all sounds great man!	4/24/11 17:03	Incoming
0	12	Didn't get that message	4/24/11 21:25	Incoming
0	12	What message?	4/24/11 21:45	Outgoing
0	12	An mms came to my phone from u	4/24/11 21:47	Incoming
0	12	Yes I probably said happy Easter earlier	4/24/11 21:47	Outgoing
0	12	Oh ok	4/24/11 21:48	Incoming
0	2	text me back when you get this	4/25/11 15:31	Incoming
0	2	K	4/25/11 15:32	Outgoing
0	7	Hey team. I will be logging on from home tonight at around 730pm. Chat with you then. 	4/25/11 17:56	Incoming
0	7	Me too	4/25/11 17:57	Outgoing
0	7	Did u get a chance to send me ur screen shots?	4/25/11 19:14	Incoming
0	7	"Forgot, will do so in half hour or so"	4/25/11 19:20	Outgoing
0	7	Are u still doing the search functionality?	4/25/11 19:24	Incoming
0	7	"Yes, but it doesn't work lol"	4/25/11 19:25	Outgoing
0	7	Do u wanna coordinate with Joe? He said u can hit him up 	4/25/11 19:28	Incoming
0	7	K	4/25/11 19:29	Outgoing
0	7	Can't get back in class	4/25/11 19:47	Outgoing
0	7	Tell he to approve me	4/25/11 19:47	Outgoing
0	7	Thx	4/25/11 19:49	Outgoing
0	7	Np	4/25/11 19:49	Incoming
0	6	Hey u wnt to cme up to bdubs in cedar point and wtch the bulls and hawks game wth me tnght	4/26/11 18:04	Incoming
0	6	Hey sorry was busy	4/27/11 18:19	Outgoing
0	6	Thats ok	4/27/11 18:20	Incoming
0	4	What are you doin next sat?	4/29/11 19:23	Incoming
0	4	"The 7th, usually just church. Why?"	4/29/11 19:46	Outgoing
0	4	Wanted to see if you and amber wanted to come have dinner with me and my family. A few other friends may come too. It is kind of a graduation dinner too! :) 	4/29/11 19:50	Incoming
0	4	"Sweet! I am not sure, it'd probably be around 7ish, so yeah whatever you guys can work out. :)"	4/29/11 19:55	Incoming
0	4	May be bonfirin tonight if you are interested?	4/30/11 14:13	Incoming
0	4	Already made plans sorry 	4/30/11 15:05	Outgoing
0	4	Awww ok	4/30/11 15:06	Incoming
0	8	I have a slow MAC. Do you have any utilitys that I can run?	4/30/11 18:08	Incoming
0	8	No but u can clean it up similar to windows	4/30/11 19:05	Outgoing
0	8	I found a bad homepage and a dvds dns setting I didn't like.it's running faster now.	4/30/11 19:07	Incoming
0	2	"Still at dinner, in a good conversation. Didn't forget about you."	4/30/11 21:53	Outgoing
0	2	Ok..we are making smores now but then probably going to head to mateys in cedar point	4/30/11 21:56	Incoming
0	2	Ok we will text when we leave	4/30/11 21:56	Outgoing
0	7	"Hey team, I won't be in class tonight cos of a business meeting. "	5/2/11 17:50	Incoming
0	7	No prob	5/2/11 17:50	Outgoing
0	7	I need to ask you about a javascript question later thru email. Look out for it	5/2/11 17:52	Incoming
0	7	K	5/2/11 17:58	Outgoing
0	7	Hmm can't get in on adobe connect 	5/2/11 18:51	Outgoing
0	4	You free thurs?	5/2/11 21:24	Incoming
0	4	After 9pm	5/2/11 21:32	Outgoing
0	4	"Perfect, wanna go to three brothers again?"	5/2/11 21:34	Incoming
0	7	Emailed ya	5/3/11 8:19	Incoming
0	7	Kewl	5/3/11 8:22	Outgoing
0	7	"Sorry for not responding, got sidetracked"	5/3/11 18:47	Outgoing
0	4	I think 3 brothers will work on thurs	5/3/11 18:47	Outgoing
0	4	Sweet man! :)	5/3/11 18:58	Incoming
0	4	 got a minute give me a call	5/4/11 20:22	Incoming
0	4	In a few	5/4/11 20:28	Outgoing
0	4	K	5/4/11 20:29	Incoming
0	4	Don't forget about three brothers tonight! :)	5/5/11 11:08	Incoming
0	4	I'll be there 	5/5/11 11:14	Outgoing
0	4	Sweet! 	5/5/11 11:29	Incoming
0	4	Sweet! 	5/5/11 11:29	Incoming
0	4	Crap I forgot to call u	5/5/11 12:09	Outgoing
0	4	Just now remembered 	5/5/11 12:09	Outgoing
0	4	Sorry about that	5/5/11 12:09	Outgoing
0	4	maybe tonight give me a call 	5/5/11 12:12	Incoming
0	4	you still looking for a house	5/5/11 12:12	Incoming
0	4	"We'd have to sell ours, but maybe"	5/5/11 12:18	Outgoing
0	4	I will talk to you tomorrow about.	5/5/11 12:19	Incoming
0	4	K	5/5/11 12:25	Outgoing
0	4	Won't make it tonight	5/5/11 21:01	Outgoing
0	7	Haven't left yet	5/5/11 21:01	Outgoing
0	7	I might need to renig	5/5/11 21:01	Outgoing
0	7	Ok can u make sure u send ur stuff to joe so he can integrated everything?	5/5/11 21:03	Incoming
0	7	Trying to text him to find a time to meet up with him	5/5/11 21:04	Outgoing
0	7	He said he will be at his bar sat night for sure	5/5/11 21:06	Incoming
0	7	"Aww, well we haven't left either"	5/5/11 21:08	Incoming
0	7	No? What time would u get there?	5/5/11 21:09	Outgoing
0	7	Ok kewl	5/5/11 21:09	Outgoing
0	7	Like 20 min	5/5/11 21:13	Incoming
0	7	Ok I will come then	5/5/11 21:14	Outgoing
0	7	Be like 30 min for me	5/5/11 21:14	Outgoing
0	7	Ok amber and I are on our way	5/5/11 21:30	Outgoing
0	7	Nice we re just leavin lol	5/5/11 21:32	Incoming
0	3	"Jenny and i are going to Mel's Place tonight, it's an awesome thai place by the mall, they're having a jazz night. If u and amber are free your we"	5/6/11 13:33	Incoming
0	3	lcome to join us	5/6/11 13:34	Incoming
0	3	"Maybe we can all meet at my place at 5, i made reservations for 7, when the show starts, we can check out the mall for a bit once we get there, sound good?"	5/6/11 13:57	Incoming
0	3	Sounds good	5/6/11 13:58	Outgoing
0	3	Almost there	5/6/11 17:32	Outgoing
0	3	Coo	5/6/11 17:33	Incoming
0	2	Van is back and key in spot. I put 6 in gas. Thanks again	5/6/11 18:42	Incoming
0	2	"Kewl, no prob"	5/6/11 18:48	Outgoing
0	7	We are going to Livios at 730 if you and amber wanted to join. :)	5/7/11 15:31	Incoming
0	7	We won't be able to. But thanks. Joe can't meet me up to merge our code till 8 pm	5/7/11 15:32	Outgoing
0	7	Ok thats cool	5/7/11 15:33	Incoming
0	6	What's up? Was in church when u called	5/7/11 20:03	Outgoing
0	6	See what u where up to	5/7/11 20:04	Incoming
0	6	Gonna be doing homework at a bar with a classmate	5/7/11 20:10	Outgoing
0	6	Would be boring for u lol	5/7/11 20:10	Outgoing
0	6	K	5/7/11 20:23	Incoming
0	6	K	5/7/11 20:24	Incoming
0	6	Are you guys free on the 21st?	5/8/11 18:04	Incoming
0	6	"Dunno, prob ambers family has sumthin not sure"	5/8/11 18:50	Outgoing
0	6	Ok. That will be my last weekend in town so I might have a going away party	5/8/11 18:51	Incoming
0	6	"Ok kewl, let us know when"	5/8/11 18:52	Outgoing
0	9	Was there supposed to be something attached? This is Bob	5/9/11 10:23	Incoming
0	9	"No, I got txt from someone saying they changed number but my phone replies all to group Ezra"	5/9/11 10:27	Outgoing
0	9	"Texts, not Ezra "	5/9/11 10:27	Outgoing
0	9	"oh, I think that was a text Mike from the guitar group. Something about his cell."	5/9/11 10:33	Incoming
0	9	Oh ok	5/9/11 10:33	Outgoing
0	10	"See, this is why txting sucks. If I called you, you would know who I am. It's Josh from guitar group! I gave you mu new# when we were at bw3."	5/9/11 12:08	Incoming
0	10	Is what I thought u gave me	5/9/11 12:09	Outgoing
0	10	I deleted this one	5/9/11 12:09	Outgoing
0	10	Well undelete it!?	5/9/11 12:12	Incoming
0	10	Lol just did	5/9/11 12:13	Outgoing
0	10	"Thx Bob, sorry about the mixup."	5/9/11 12:14	Incoming
0	7	Ok. I got the forms onto the site but it's not sending me the emails once they are filled and submitted. Can't figure out where I'm going wrong.  HELP ( 	5/9/11 16:12	Incoming
0	7	when u get a chance)	5/9/11 16:12	Incoming
0	7	I cam see that they are submitted on the plug-in itself.	5/9/11 16:15	Incoming
0	8	"My login doesn't work on 192.168.4.4 arg, don't worry about it tonight"	5/9/11 23:44	Outgoing
1	12	got glitter?	5/10/11 11:06	Outgoing
0	12	your icon suck	5/10/11 11:08	Incoming
0	12	:-) 	5/10/11 11:09	Incoming
0	3	"Jenny's having some ppl over tonight for dinner and drinks, u and amber are welcome to come by!"	5/12/11 13:47	Incoming
0	3	"Awesome thanks, we'll see how grading and final homework goes lol"	5/12/11 15:40	Outgoing
0	3	Where and what time?	5/12/11 19:29	Outgoing
0	3	"Nobody came lol, what u guys doing?"	5/12/11 19:36	Incoming
0	3	Homework lol	5/12/11 19:36	Outgoing
0	3	U have a ton?	5/12/11 19:37	Incoming
